Pathway,Metabolite
Glycolysis / Gluconeogenesis,Pyruvate
Glycolysis / Gluconeogenesis,Acetyl-CoA
Glycolysis / Gluconeogenesis,D-Glucose
Glycolysis / Gluconeogenesis,Acetate
Glycolysis / Gluconeogenesis,Oxaloacetate
Glycolysis / Gluconeogenesis,Thiamin diphosphate
Glycolysis / Gluconeogenesis,Phosphoenolpyruvate
Glycolysis / Gluconeogenesis,Acetaldehyde
Glycolysis / Gluconeogenesis,D-Fructose 6-phosphate
Glycolysis / Gluconeogenesis,D-Glucose 1-phosphate
Glycolysis / Gluconeogenesis,Glycerone phosphate
Glycolysis / Gluconeogenesis,D-Glyceraldehyde 3-phosphate
Glycolysis / Gluconeogenesis,(S)-Lactate
Glycolysis / Gluconeogenesis,3-Phospho-D-glycerate
Glycolysis / Gluconeogenesis,beta-D-Glucose
Glycolysis / Gluconeogenesis,3-Phospho-D-glyceroyl phosphate
Glycolysis / Gluconeogenesis,alpha-D-Glucose
Glycolysis / Gluconeogenesis,"D-Fructose 1,6-bisphosphate"
Glycolysis / Gluconeogenesis,Ethanol
Glycolysis / Gluconeogenesis,2-Phospho-D-glycerate
Glycolysis / Gluconeogenesis,alpha-D-Glucose 6-phosphate
Glycolysis / Gluconeogenesis,"2,3-Bisphospho-D-glycerate"
Glycolysis / Gluconeogenesis,beta-D-Glucose 6-phosphate
Glycolysis / Gluconeogenesis,Salicin
Glycolysis / Gluconeogenesis,2-(alpha-Hydroxyethyl)thiamine diphosphate
Glycolysis / Gluconeogenesis,Arbutin
Glycolysis / Gluconeogenesis,Arbutin 6-phosphate
Glycolysis / Gluconeogenesis,Salicin 6-phosphate
Glycolysis / Gluconeogenesis,Enzyme N6-(lipoyl)lysine
Glycolysis / Gluconeogenesis,Enzyme N6-(dihydrolipoyl)lysine
Glycolysis / Gluconeogenesis,[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
Citrate cycle (TCA cycle),Pyruvate
Citrate cycle (TCA cycle),Acetyl-CoA
Citrate cycle (TCA cycle),2-Oxoglutarate
Citrate cycle (TCA cycle),Oxaloacetate
Citrate cycle (TCA cycle),Succinate
Citrate cycle (TCA cycle),Thiamin diphosphate
Citrate cycle (TCA cycle),Phosphoenolpyruvate
Citrate cycle (TCA cycle),Succinyl-CoA
Citrate cycle (TCA cycle),Fumarate
Citrate cycle (TCA cycle),(S)-Malate
Citrate cycle (TCA cycle),Citrate
Citrate cycle (TCA cycle),Isocitrate
Citrate cycle (TCA cycle),cis-Aconitate
Citrate cycle (TCA cycle),2-(alpha-Hydroxyethyl)thiamine diphosphate
Citrate cycle (TCA cycle),Oxalosuccinate
Citrate cycle (TCA cycle),3-Carboxy-1-hydroxypropyl-ThPP
Citrate cycle (TCA cycle),Enzyme N6-(lipoyl)lysine
Citrate cycle (TCA cycle),Enzyme N6-(dihydrolipoyl)lysine
Citrate cycle (TCA cycle),[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine
Citrate cycle (TCA cycle),[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
Pentose phosphate pathway,Pyruvate
Pentose phosphate pathway,D-Glucose
Pentose phosphate pathway,D-Fructose 6-phosphate
Pentose phosphate pathway,D-Ribose 5-phosphate
Pentose phosphate pathway,D-Glyceraldehyde 3-phosphate
Pentose phosphate pathway,5-Phospho-alpha-D-ribose 1-diphosphate
Pentose phosphate pathway,D-Ribose
Pentose phosphate pathway,3-Phospho-D-glycerate
Pentose phosphate pathway,"D-Glucono-1,5-lactone"
Pentose phosphate pathway,D-Ribulose 5-phosphate
Pentose phosphate pathway,2-Dehydro-3-deoxy-D-gluconate
Pentose phosphate pathway,beta-D-Glucose
Pentose phosphate pathway,D-Xylulose 5-phosphate
Pentose phosphate pathway,D-Gluconic acid
Pentose phosphate pathway,D-Glycerate
Pentose phosphate pathway,D-Erythrose 4-phosphate
